COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C001	A	5,5	6,3	9,5	2,3	5	0	0	0	0
C002	A	8,3	8,5	8,3	8,5	7	0	0	0	0
C003	A	7,3	7,3	8,5	7,5	5,2	0	0	0	0
C004	A	5,2	4,6	6,4	7,6	6	0	0	0	0
C005	RN	3,4	2,3	3,8	4,9	1,9	0	0	0	0
C006	RN	2,3	1,8	4,1	2	0,5	0	0	0	0
C007	A	7	7,5	7,5	7,5	4,5	0	0	0	0
C008	A	8	6,2	8,5	7,5	9	0	0	0	0
C009	RN	4,1	5,2	4,7	5,8	6,9	0	0	0	0
C010	A	7,1	7,4	5,8	7,2	7	0	0	0	0
C011	A	7	6	8	6,5	6,5	0	0	0	0
C012	A	6,7					0	0	0	0
C013	A	7,8	7,4	6,7	9	8	0	0	0	0
C014	A	8,3	7	9	9	8	0	0	0	0
C015	A	7,6	7	7,2	7	9	0	0	0	0
C016	A	7	4	9,5	5	9,5	0	0	0	0
C017	A	7,1	8,8	4	7	8,5	0	0	0	0
C018	A	7	4,5	5,7	8	9,5	0	0	0	0
C019	A	7	7,6	5,1	8,5	6,5	0	0	0	0
C020	RN	6,5	6,5				0	0	0	0
C021	A	7,2	7,2				0	0	0	0
C022	RN	0	0				0	0	0	0
C023	RN	0	0				0	0	0	0
C024	RN	0	0				0	0	0	0
C025	RN	0	0				0	0	0	0
C026	RN	0	0				0	0	0	0
C027	RN	0	0				0	0	0	0
C028	RN	0	0				0	0	0	0
C029	RF	0					0	0	0	0
C030	A	7,3	7,6	5,3	6,5	9,7	0	0	0	0
C031	A	8,3	8,8	8,8	8,5	7,2	0	0	0	0
C032	RN	3,5	6	4	6	7,8	0	0	0	0
C033	A	7,5	9,2	3,3	9,2	8,4	0	0	0	0
C034	RN	4,3	5,5	5,8	6,8	7,6	0	0	0	0
C035	A	7	5,8	7	7	8	0	0	0	0
C036	A	8,3	7,7	8,8	8	8,5	0	0	0	0
C037	A	7	7,2	6,9			0	0	0	0
C022	RN	1,8	1,8				0	0	0	0
C028	A	7,7	7,7				0	0	0	0
C038	RN	0,5	0,5				0	0	0	0
C039	RN	0,5	0,5				0	0	0	0
C040	A	7,2	7,2				0	0	0	0
C041	RN	3	3,2				0	0	0	0
C042	A	7	8,3	5,7			0	0	0	0
C043	A	8,2					0	0	0	0
C029	A	0					0	0	0	0
C032	C	0	6	4	6	7,8	0	0	0	0
C034	C	0,7	5,5	5,8	6,8	7,6	20	16	0	0
C044	RN	1,6	1,5	3,4	1,7	0	6	2	4	2
C045	A	7,1	4	7	8,6	8,8	6	6	6	0
C046	RN	1,4				1,4	0	2	15	0
C047	A	5	6,3	4,5	6,3	6,7	5	0	0	2
C048	A	7,7	10	7,8	8	5	4	0	0	0
C049	C	0					0	0	0	0
C050	RN	2,5	2	3			14	6	0	0
C051	A	5,6	4,9	4,7			14	6	0	0
C044	RN	1,9	1,5	3,4	1,7	0	2	0	0	6
C032	A	5,6	6	4	6	7,8	6	6	12	4
C034	RN	2,6	5,5	5,8	6,8	7,6	6	14	8	10
C046	A	8				1,4	0	0	0	0
C006	RN	0	0	0	0	0	0	0	0	0
C052	RN	2,4	5,8	4	0	0	10	2	2	10
C006	T	 					0	0	0	0
C004	RN	2,4	2,2	3,4	1,2	2,8	0	0	0	0
C006	RN	2,4	2,1	2,9	2,7	2,1	0	0	0	0
C007	RN	0,6	0,4	1,1	1	0	0	0	0	0
C012	RN	2,4	4,5	1,7	3,5	0,1	0	0	0	0
C053	A	5,1	6	2,8	8,4	8,3	0	0	0	0
C054	A	5,3	4,5	8,8			0	0	0	0
C055	A	6,2	7,8	5			0	0	0	0
C021	RN	3,9	3,9				0	0	0	0
C042	RN	3	6,4	5,8			0	0	0	0
C056	RN	2,7	5,4	5,5			0	0	0	0
C004	RN	2,7	2,2	3,4	1,2	2,8	0	0	0	0
C006	A	5,7	2,1	2,9	2,7	2,1	0	0	0	0
C007	C	 	0,4	1,1	1	0	0	0	0	0
C012	RN	2,1	4,5	1,7	3,5	0,1	0	0	0	0
C042	A	7,1	7,2	7			0	0	0	0
C056	A	5	5,4	5,5			0	0	0	0
C057	A	5,1	1,8	3,3	5,8	9,3	2	10	8	0
C052	RN	3,2	7	5,9	4,8	5,9	0	0	2	0
C058	A	7,1	4,9	6,5	7,5	8,2	0	0	2	0
C044	RN	2,6	4	2,1	1,8	1,4	0	0	0	0
C059	RN	3,2	5,7	4,5	5	7	0	1	4	2
C037	A	6,8	6,3	6,7			0	0	0	0
C043	A	7,2	8	6,3			0	0	0	0
C004	A	7,6	2,2	3,4	1,2	2,8	0	6	0	0
C007	A	5	0,4	1,1	1	0	4	12	0	2
C012	A	7	4,5	1,7	3,5	0,1	2	10	0	2
C060	A	 					0	0	0	0
C013	RN	2,1	1,4	5,1	0	2,2	0	0	0	0
C014	RN	1,7	3,9	2,9	0	0	0	0	0	26
C015	A	6,4	7,2	5	3	10	0	0	0	0
C016	RN	3,5	4	3,5	4,5	4	0	0	0	0
C017	RN	2	1,6	0,5	0	6	2	4	2	0
C018	RN	2,8	3,1	6,5	0	1,9	0	0	0	0
C019	RN	2,9	5,2	2,6	2,3	1,8	2	4	22	12
C013	A	5,7	1,4	5,1	0	2,2	0	0	0	0
C014	RF	2,3	3,9	2,9	0	0	0	4	20	18
C016	A	7,2	4	3,5	4,5	4	4	4	6	4
C017	A	7	1,6	0,5	0	6	0	0	0	0
C018	A	6,9	3,1	6,5	0	1,9	0	0	0	0
C019	RF	2	5,2	2,6	2,3	1,8	8	10	12	26
